cliente_id,nombre,sector,pais
1,Mireles-Alonso,Automotriz,México
2,Industrias Garay y Aguilar,Automotriz,México
3,Bahena-Girón,Automotriz,México
4,Aparicio-Menéndez,Automotriz,México
5,Serrano-Granados,Automotriz,México
6,"Laboratorios Ruelas, Gallegos y Tirado",Automotriz,México
7,Laboratorios Vásquez-Velázquez,Automotriz,México
8,Guerra y Rojas y Asociados,Automotriz,México
9,"Espinal, Cabrera y Calderón",Automotriz,México
10,"Moreno, Piña y Partida",Automotriz,México
11,Ayala y Calvillo A.C.,Automotriz,México
12,"Mojica, Cardona y Guzmán",Automotriz,México
13,Grupo Terán y Rangel,Automotriz,México
14,Club Elizondo-Leiva,Automotriz,México
15,Haro y Benítez S.C.,Automotriz,México
16,Arteaga-Toledo,Automotriz,México
17,Cabán y Asociados,Tecnología,México
18,Grupo Palomo y Ruelas,Tecnología,México
19,Gallardo y Pacheco A.C.,Tecnología,México
20,Club Acevedo-Orellana,Tecnología,México
21,"Proyectos Rentería, Lira y Piña",Tecnología,México
22,Correa y Espinal S.A. de C.V.,Tecnología,México
23,Despacho Venegas y Torres,Tecnología,México
24,Martínez A.C.,Tecnología,México
25,Viera S.C.,Tecnología,México
26,Despacho Sauceda-Blanco,Tecnología,México
27,Despacho Yáñez-Barreto,Tecnología,México
28,Club Casares y Vargas,Tecnología,México
29,Industrias Villegas y Arenas,Tecnología,México
30,Perea-Vergara,Tecnología,México
31,Ibarra-Flores e Hijos,Tecnología,México
32,Griego-Jaimes S.C.,Tecnología,México
33,Laboratorios Macías-Reyna,Tecnología,México
34,Beltrán-Aguirre S.C.,Tecnología,México
35,Benavides-Terrazas,Tecnología,México
36,Industrias Jaimes y Centeno,Tecnología,México
37,Barrientos-Guevara S.A. de C.V.,Tecnología,México
38,"Grupo Quezada, Tórrez y Madrid",Tecnología,México
39,Urrutia S.A. de C.V.,Tecnología,México
40,Cervantes-Jaime,Tecnología,México
41,Carbajal-Uribe,Tecnología,México
42,Corporacin Lerma-Zedillo,Tecnología,México
43,Laboratorios Montalvo y Figueroa,Tecnología,México
44,"Industrias Sáenz, Heredia y Ávalos",Tecnología,México
45,Piña-Lebrón,Tecnología,México
46,Acosta S.A. de C.V.,Tecnología,México
47,Laboratorios Iglesias-Cuellar,Tecnología,México
48,Ureña y Ponce S. R.L. de C.V.,Tecnología,México
49,Carrasco A.C.,Tecnología,México
50,Industrias Aranda-Negrón,Tecnología,México
51,Club Cavazos-Arguello,Tecnología,México
52,"Corporacin Arenas, Muñiz y Gaitán",Tecnología,México
53,Laboratorios Candelaria y Moreno,Tecnología,México
54,"Correa, Granado y Curiel",Tecnología,México
55,Club Alvarado-Duarte,Tecnología,México
56,Patiño-Guzmán S.A. de C.V.,Tecnología,México
57,Proyectos Cardenas-Olivas,Construcción,México
58,Rodrígez S.A.,Construcción,México
59,Proyectos Rincón y Montez,Construcción,México
60,"Proyectos Gil, Garica y Alva",Construcción,México
61,Club Méndez y Leiva,Construcción,México
62,Leiva-Montoya,Construcción,México
63,"Terán, Meraz y Amaya",Construcción,México
64,Ibarra-Domínguez,Construcción,México
65,"Despacho Cardona, Ybarra y Puente",Construcción,México
66,Martínez-Pulido S. R.L. de C.V.,Construcción,México
67,Olmos-Velázquez,Construcción,México
68,Corporacin Armendáriz y Pulido,Construcción,México
69,Solís y Asociados,Construcción,México
