id,proyecto_id,monto_presupuestado,monto_real_acumulado,ingreso_proyecto,metadata_extraccion
1,1,64676,23654,29387,0
2,2,141460,116793,149669,0
3,3,146832,142662,150343,0
4,4,152143,135738,118963,0
5,5,124975,62295,80699,0
6,6,248729,219700,279782,0
7,7,66483,54641,62911,0
8,8,150923,88392,113334,0
9,9,137889,84278,85883,0
10,10,58392,26180,25369,0
11,11,20471,19979,22544,0
12,12,58695,30559,28083,0
13,13,144811,108534,137594,0
14,14,50996,50060,60259,0
15,15,51941,12407,12822,0
16,16,72724,33157,32150,0
17,17,60146,40444,41427,0
18,18,59761,52771,53909,0
19,19,55427,46540,56686,0
20,20,167307,82815,86183,0
21,21,50282,41777,62419,0
22,22,145748,92750,120362,0
23,23,78534,43051,55292,0
24,24,23286,18629,24844,0
25,25,25250,5129,6286,0
26,26,27856,15326,22630,0
27,27,47474,10256,11575,0
28,28,63891,51706,59880,0
29,29,178642,146757,188273,0
30,30,31552,8160,6826,0
31,31,24508,24593,35701,0
32,32,135717,73080,77791,0
33,33,37332,19733,16925,0
34,34,59638,63691,75426,0
35,35,113316,102616,86828,0
36,36,134293,98877,133963,0
37,37,51267,12100,10356,0
38,38,78821,61267,77926,0
39,39,69699,19527,18057,0
40,40,140515,91712,115821,0
41,41,87018,17403,20331,0
42,42,141917,87973,75133,0
43,43,78515,65321,82253,0
44,44,106203,78306,88487,0
45,45,173170,143958,140441,0
46,46,65118,32432,40167,0
47,47,153918,147987,183248,0
48,48,57787,44242,39598,0
49,49,120575,94623,130082,0
50,50,126559,25311,28135,0
51,51,68705,15545,15610,0
52,52,199390,64032,72910,0
53,53,20026,13237,12600,0
54,54,92237,58630,60535,0
55,55,84483,57008,64386,0
56,56,35392,27474,31221,0
57,57,104184,75606,97680,0
58,58,62727,23107,20732,0
59,59,69342,56708,63968,0
60,60,77698,68813,88010,0
61,61,65906,74284,95275,0
62,62,67138,49387,61536,0
63,63,51108,47347,60605,0
64,64,162716,73339,68740,0
65,65,183809,168471,245497,0
66,66,96086,72373,81469,0
67,67,105069,91706,91223,0
68,68,51259,28343,22757,0
69,69,241091,97719,114698,0
70,70,37887,24119,24551,0
71,71,71632,22167,27049,0
72,72,56987,11397,12895,0
73,73,108198,49590,49071,0
74,74,99692,88732,107481,0
75,75,105081,36430,42787,0
76,76,110553,103492,145064,0
77,77,33272,28045,36161,0
78,78,129415,97434,130844,0
79,79,46731,16219,20508,0
80,80,127607,133664,183954,0
81,81,131733,67534,80913,0
82,82,68353,13670,13468,0
83,83,127666,43601,44331,0
84,84,73086,14617,17056,0
85,85,221863,136056,138476,0
86,86,173119,132859,164853,0
87,87,99674,86598,83844,0
88,88,155605,31121,30418,0
89,89,172422,139979,185096,0
90,90,57019,11403,12287,0
91,91,52260,18011,15246,0
92,92,126225,109268,107575,0
93,93,56070,17353,21384,0
94,94,150484,114149,109328,0
95,95,68405,70319,90970,0
96,96,34908,9749,9558,0
97,97,23573,14134,15217,0
98,98,114537,95627,98945,0
99,99,129907,40230,48720,0
100,100,56886,47717,70604,0
101,101,64067,12813,15316,0
102,102,49014,9802,9298,0
103,103,57894,33912,37466,0
104,104,35292,7560,6954,0
105,105,63916,54534,70237,0
106,106,161190,97393,143125,0
107,107,55688,41427,49294,0
108,108,120638,125181,137388,0
109,109,28149,5629,5822,0
110,110,114722,106693,108707,0
111,111,41408,13949,15488,0
112,112,22636,16873,23710,0
113,113,107132,35303,39447,0
114,114,46843,9368,8998,0
115,115,169884,130704,158842,0
116,116,40612,26579,31920,0
117,117,121118,104900,108150,0
118,118,170676,152505,205906,0
119,119,214849,148513,184218,0
120,120,40682,19920,27567,0
121,121,27435,14648,15098,0
122,122,111676,81333,81962,0
123,123,68958,54449,54002,0
124,124,38104,7620,9039,0
125,125,50336,36541,44329,0
126,126,55296,38544,40169,0
127,127,32363,6472,8351,0
128,128,46920,22519,18506,0
129,129,114923,22984,29474,0
130,130,126138,94069,99993,0
131,131,88567,79231,92046,0
132,132,121054,113355,163311,0
133,133,67101,69497,101116,0
134,134,66363,34905,39868,0
135,135,66347,13269,13558,0
136,136,28677,20012,24361,0
137,137,87200,46418,54215,0
138,138,68758,28108,25749,0
139,139,102463,84163,105157,0
140,140,119362,71620,73114,0
141,141,36390,23264,23925,0
142,142,102182,91448,114542,0
143,143,102122,57404,76139,0
144,144,75838,68922,82667,0
145,145,165700,147744,202572,0
146,146,155559,68103,55618,0
147,147,148921,64398,57173,0
148,148,143134,96978,116643,0
149,149,130191,131076,168738,0
150,150,63672,29844,42267,0
151,151,74087,61787,70200,0
152,152,111797,25870,21019,0
153,153,116571,96234,107560,0
154,154,111887,25595,32585,0
155,155,33890,26604,33400,0
156,156,67618,37643,33022,0
157,157,51746,11374,14439,0
158,158,54143,20522,26171,0
159,159,242728,83225,104101,0
160,160,149757,44713,57416,0
161,161,133819,131325,175825,0
162,162,248000,167790,198341,0
163,163,78680,28036,33484,0
164,164,60403,53680,49671,0
165,165,33637,6727,5431,0
166,166,109564,71234,79850,0
167,167,75988,57440,71502,0
168,168,67660,62920,88924,0
169,169,225562,111934,136967,0
170,170,83934,41501,34877,0
171,171,125245,116434,145817,0
172,172,62999,39661,47456,0
173,173,34974,30772,38942,0
174,174,90963,70788,96699,0
175,175,62219,52610,66959,0
176,176,126414,65163,73960,0
177,177,113486,75844,112807,0
178,178,35140,23564,26588,0
179,179,32529,25149,35335,0
180,180,138470,91814,124598,0
181,181,171636,34327,39522,0
182,182,137552,114428,151791,0
183,183,49654,49650,62952,0
184,184,248791,153039,168053,0
185,185,28261,11431,12996,0
186,186,85804,22989,20869,0
187,187,138930,113519,151803,0
188,188,28590,19769,21806,0
189,189,126015,25203,21674,0
190,190,119806,116589,161064,0
191,191,111089,73567,93760,0
192,192,206017,44103,50927,0
193,193,145055,29011,34832,0
194,194,163783,110358,112326,0
195,195,68877,55741,68885,0
196,196,58420,21144,18965,0
197,197,126949,71411,62357,0
198,198,169529,167939,215899,0
199,199,132210,69074,66177,0
200,200,44845,41850,50143,0
201,201,45342,37586,38746,0
202,202,67248,43666,53801,0
203,203,50197,41184,42475,0
204,204,37336,36687,45074,0
205,205,83925,73339,89377,0
206,206,41236,20452,23597,0
207,207,43848,18316,18067,0
208,208,128366,53613,44294,0
209,209,246266,246463,337987,0
210,210,58190,52356,71489,0
211,211,61104,21771,20786,0
212,212,237990,63156,71832,0
213,213,147254,85994,109692,0
214,214,70308,21277,17842,0
215,215,82912,31271,40984,0
216,216,30109,25919,30193,0
217,217,46926,44268,55145,0
218,218,54996,31835,38064,0
219,219,124766,94509,141175,0
220,220,71241,45707,55234,0
221,221,23419,9172,10278,0
222,222,235242,102524,125651,0
223,223,84330,32764,42768,0
224,224,148762,112646,93116,0
225,225,198281,121449,110794,0
226,226,34571,25885,22488,0
227,227,130654,54141,43454,0
228,228,60966,12342,15675,0
229,229,38881,30708,28215,0
230,230,66874,26418,31621,0
231,231,60130,40472,32710,0
232,232,48130,37564,41343,0
233,233,97265,29045,24218,0
234,234,21332,13988,13921,0
235,235,41623,35283,49358,0
236,236,187167,137778,158908,0
237,237,87783,83065,118334,0
238,238,55741,46372,55440,0
239,239,51098,43327,56089,0
240,240,134790,75135,88391,0
241,241,33157,26676,37872,0
242,242,115038,64725,74177,0
243,243,47820,46542,52665,0
244,244,60989,54988,67699,0
245,245,49091,32724,31931,0
246,246,115036,99724,83520,0
247,247,148290,100366,114387,0
248,248,57624,20152,18499,0
249,249,108489,79409,87552,0
250,250,60077,27399,36428,0
251,251,129739,71793,58364,0
252,252,65435,52666,49026,0
253,253,140961,86601,108964,0
254,254,158500,78002,69135,0
255,255,95537,54632,63087,0
256,256,66649,52119,72123,0
257,257,152685,76180,91113,0
258,258,125009,64852,63843,0
259,259,25650,5130,4272,0
260,260,103665,79636,96492,0
261,261,162115,138218,189641,0
262,262,52955,37545,54976,0
263,263,30614,25099,24128,0
264,264,60672,51977,48094,0
265,265,39845,34511,46443,0
266,266,128504,118601,170431,0
267,267,75529,36431,39650,0
268,268,47939,30258,31741,0
269,269,36048,22175,31530,0
270,270,107619,55685,70511,0
271,271,67078,13415,12873,0
272,272,197134,39426,41692,0
273,273,170116,68267,69959,0
274,274,81633,67590,90986,0
275,275,121976,24395,21831,0
276,276,90441,66659,86586,0
277,277,58230,56078,69601,0
278,278,20535,13142,16080,0
279,279,145710,100961,99241,0
280,280,48758,31628,34051,0
281,281,122070,53193,49993,0
282,282,45814,34375,42943,0
283,283,233463,195891,196026,0
284,284,46826,39151,55656,0
285,285,30649,6129,6107,0
286,286,233618,171019,182335,0
287,287,44140,35591,43865,0
288,288,51102,39532,47683,0
289,289,51486,30010,35057,0
290,290,125047,101987,150867,0
291,291,104127,100858,138800,0
292,292,29049,10925,11573,0
293,293,237750,47550,46999,0
294,294,96437,32092,36518,0
295,295,164623,139545,169073,0
296,296,228189,132591,127091,0
297,297,45856,23820,28802,0
298,298,60717,54888,67981,0
299,299,85537,69409,102254,0
300,300,40889,14586,12039,0
301,301,148344,95000,117051,0
302,302,146668,115258,156884,0
303,303,87409,75079,101984,0
304,304,68410,13682,15892,0
305,305,144069,112897,159770,0
306,306,178221,42188,45730,0
307,307,242422,175263,186157,0
308,308,90544,78564,94623,0
309,309,88810,77716,62720,0
310,310,206296,127426,154630,0
311,311,125004,69991,82163,0
312,312,101740,93506,119565,0
313,313,168564,91663,103289,0
314,314,120427,84780,74594,0
315,315,39335,20994,26179,0
316,316,129395,36994,36506,0
317,317,63522,39623,56670,0
318,318,54614,39177,54123,0
319,319,38248,37731,50147,0
320,320,33461,27428,31774,0
321,321,28646,27773,35587,0
322,322,64090,67459,95978,0
323,323,157121,57060,62147,0
324,324,57897,42259,62282,0
325,325,75395,51759,59738,0
326,326,99479,30729,30354,0
327,327,31696,14106,18287,0
328,328,69556,47288,38367,0
329,329,99712,30398,36832,0
330,330,74704,45400,66963,0
331,331,75204,29804,37795,0
332,332,63924,20109,16424,0
333,333,53767,11925,10937,0
334,334,40346,30690,43773,0
335,335,29388,23005,29741,0
336,336,55979,33955,44911,0
337,337,52290,33796,43466,0
338,338,104568,51697,51910,0
339,339,81584,82125,118238,0
340,340,148180,135953,174549,0
341,341,36711,14096,12709,0
342,342,60103,30926,35945,0
343,343,64647,42306,46598,0
344,344,69004,59909,64667,0
345,345,95524,39880,50590,0
346,346,64610,26666,30716,0
347,347,162224,142209,151712,0
348,348,230358,186996,240551,0
349,349,91015,63674,80584,0
350,350,149465,151238,184219,0
351,351,122173,126258,171943,0
352,352,146045,89902,107656,0
353,353,55396,33659,35744,0
354,354,25418,20559,20686,0
355,355,97336,54220,57086,0
356,356,68206,61837,64553,0
357,357,54695,40935,56853,0
358,358,86584,71052,89162,0
359,359,37578,29559,39842,0
360,360,197793,195737,290418,0
361,361,48305,22113,18724,0
362,362,133459,105441,116383,0
363,363,119226,66449,83697,0
364,364,59489,52679,72368,0
365,365,21026,10366,13276,0
366,366,118453,23690,20876,0
367,367,45155,29251,41017,0
368,368,31401,8790,8953,0
369,369,65230,33249,42473,0
370,370,218109,174858,226658,0
371,371,136595,27319,27046,0
372,372,24817,23206,19516,0
373,373,97277,52486,59971,0
374,374,67367,66392,75349,0
375,375,21721,12858,10862,0
376,376,46261,24008,34703,0
377,377,81816,16363,17769,0
378,378,89469,60016,56067,0
379,379,52597,32514,39663,0
380,380,229971,210091,230449,0
381,381,50887,26947,34341,0
382,382,41937,37721,38298,0
383,383,59532,51691,76446,0
384,384,168714,80557,119796,0
385,385,64927,56463,83160,0
386,386,94958,73632,93908,0
387,387,66506,56731,69276,0
388,388,128372,120169,155221,0
389,389,97124,19424,22353,0
390,390,36268,24930,28141,0
391,391,144757,114483,146928,0
392,392,62924,12584,11695,0
393,393,50347,10069,11943,0
394,394,117445,26982,27197,0
395,395,159362,99986,119196,0
396,396,107431,89333,103715,0
397,397,130168,54847,44496,0
398,398,81978,35913,34673,0
399,399,74176,47337,42281,0
400,400,130492,105690,153592,0
401,401,86483,50278,59135,0
402,402,82146,50792,54268,0
403,403,168774,155729,213080,0
404,404,202903,58933,64443,0
405,405,145227,127460,181693,0
406,406,27724,5544,5096,0
407,407,141833,75489,76177,0
408,408,51894,30151,40830,0
409,409,76777,70803,63265,0
410,410,67895,21356,19168,0
411,411,52225,47075,47442,0
412,412,124107,75073,61216,0
413,413,98941,85543,112492,0
414,414,53476,10695,9161,0
415,415,242093,212827,257798,0
416,416,63423,24708,28858,0
417,417,108895,101707,99091,0
418,418,78207,53097,63439,0
419,419,212241,51102,45122,0
420,420,131964,90451,96433,0
421,421,39178,29157,35447,0
422,422,46974,24830,31270,0
423,423,124435,121985,174608,0
424,424,132890,121147,146283,0
425,425,58791,51536,60549,0
426,426,100648,64330,79412,0
427,427,77145,57239,61086,0
428,428,92318,69103,98909,0
429,429,52690,14673,12075,0
430,430,107840,61248,78557,0
431,431,111832,33371,28254,0
432,432,143391,135240,111693,0
433,433,123907,66413,76497,0
434,434,99294,89596,117171,0
435,435,134648,60514,62864,0
436,436,91071,80209,100022,0
437,437,42221,38885,52266,0
438,438,155968,142077,205157,0
439,439,140671,123085,152701,0
440,440,62085,37043,34230,0
441,441,39768,38132,34422,0
442,442,62347,41191,46209,0
443,443,115481,72858,98739,0
444,444,50351,43823,63294,0
445,445,24783,5289,4275,0
446,446,85462,70016,58129,0
447,447,143405,112741,118437,0
448,448,120328,58909,62963,0
449,449,234035,174409,219835,0
450,450,57331,58217,71261,0
451,451,70405,27222,27948,0
452,452,75969,32841,37791,0
453,453,144472,74117,89214,0
454,454,107695,39643,38354,0
455,455,230062,46012,47281,0
456,456,36719,29542,41634,0
457,457,27886,15311,18822,0
458,458,140395,68861,101094,0
459,459,46089,44740,53656,0
460,460,197729,148311,127503,0
461,461,58801,52704,78664,0
462,462,61322,45706,49204,0
463,463,179668,172313,240519,0
464,464,68002,31664,39587,0
465,465,46267,26376,31471,0
466,466,68077,53206,66534,0
467,467,52513,37856,39597,0
468,468,100679,94774,118338,0
469,469,61128,35121,38295,0
470,470,56327,29156,29665,0
471,471,203010,157353,181013,0
472,472,161239,117956,133275,0
473,473,30772,28593,36594,0
474,474,40205,14485,18618,0
475,475,96366,81700,99507,0
476,476,143873,142572,150660,0
477,477,206008,166074,239452,0
478,478,76645,64655,55650,0
479,479,137580,52737,60285,0
480,480,85124,47386,57165,0
481,481,33440,26830,30500,0
482,482,113274,99447,116074,0
483,483,139550,96437,97722,0
484,484,156919,86778,126120,0
485,485,47000,42007,61040,0
486,486,152286,123922,168169,0
487,487,66751,13350,13077,0
488,488,92153,27302,27143,0
489,489,26920,11429,14262,0
490,490,193698,133196,157626,0
491,491,103216,81269,98060,0
492,492,50455,32479,40336,0
493,493,123362,72603,87349,0
494,494,192191,106158,135221,0
495,495,121016,105669,123656,0
496,496,165301,129429,142407,0
497,497,124826,37724,31302,0
498,498,43913,38114,56569,0
499,499,89552,43073,52938,0
500,500,72833,14566,16803,0
501,501,58597,52786,75261,0
502,502,100471,82978,122767,0
503,503,40854,26667,39158,0
504,504,41703,33480,46809,0
505,505,109523,42574,38522,0
506,506,100335,89968,74140,0
507,507,99638,76386,94756,0
508,508,109151,97370,81484,0
509,509,42113,20680,26384,0
510,510,119661,84814,91049,0
511,511,89571,17914,19827,0
512,512,83310,40461,41152,0
513,513,51822,40020,45966,0
514,514,35567,26672,30362,0
515,515,50500,43114,43709,0
516,516,21686,11308,10216,0
517,517,180832,141789,169074,0
518,518,121319,33254,33046,0
519,519,55848,47128,43906,0
520,520,116158,103377,90513,0
521,521,60484,45696,57832,0
522,522,47435,44494,66129,0
523,523,25174,14826,18649,0
524,524,60650,47100,41152,0
525,525,75260,74795,64555,0
526,526,78907,47549,52951,0
527,527,24391,18606,15694,0
528,528,118116,46749,48108,0
529,529,32374,8738,8801,0
530,530,26618,25187,35621,0
531,531,200412,40082,45188,0
532,532,38049,17189,17214,0
533,533,41724,24137,27643,0
534,534,94284,40072,48434,0
535,535,125747,78513,100987,0
536,536,124113,103568,125086,0
537,537,84862,26614,32255,0
538,538,117537,112880,159905,0
539,539,54359,40797,50574,0
540,540,105402,24042,19631,0
541,541,196561,136418,165304,0
542,542,98819,45225,47232,0
543,543,131687,72110,89250,0
544,544,28253,23345,20577,0
545,545,94193,39409,36829,0
546,546,28671,15896,21601,0
547,547,120074,45347,52437,0
548,548,220323,215561,258845,0
549,549,26705,6979,5608,0
550,550,178243,84783,96839,0
551,551,168458,66678,75216,0
552,552,162993,137910,172365,0
553,553,64614,17325,15072,0
554,554,103031,46795,46520,0
555,555,66751,61086,72627,0
556,556,136194,27238,33727,0
557,557,123273,83544,98703,0
558,558,193135,54085,64324,0
559,559,177083,113574,117194,0
560,560,131350,117454,132545,0
561,561,44553,20303,20436,0
562,562,147267,116019,150081,0
563,563,73639,46954,55850,0
564,564,115207,41423,45643,0
565,565,63079,36240,31336,0
566,566,100242,103929,114516,0
567,567,239207,62413,55877,0
568,568,73798,73004,62152,0
569,569,22996,23393,28522,0
