proyecto_id,nombre,descripcion,fecha_inicio_plan,fecha_fin_plan,fecha_inicio_real,fecha_fin_real,horas_totales,horas_trabajadas,estado_id,tipo_proyecto_id,cliente_id,defectos_detectados,metadata_extraccion,catalogo_id
1,App de Tareas XJ,Solo precio seguir p tan llegar premio escuela próximo carrera.,2024-11-21,2025-12-31,2024-11-11,2025-03-28,914,324,5,5,240,6,0,1
2,Gestión Documental EI,Dónde personal análisis internacional sectores libros pensar frente.,2021-02-04,2022-07-26,2021-02-07,2022-07-30,2228,1797,4,3,394,7,0,2
3,App de Tareas BG,Principios dólares podía estas comenzó.,2021-12-01,2024-04-06,2021-12-15,,3990,3732,2,3,449,0,0,3
4,App de Tareas WH,U obra opinión causa primera nivel época.,2024-04-10,2024-09-16,2024-04-19,,3723,3282,2,3,55,0,0,4
5,Sistema ERP Alpha PK,Pacientes toda amigos cuarto conocer pese manuel tales me muy.,2025-06-15,2025-12-31,2025-06-24,2025-11-25,2972,1731,4,2,391,7,0,5
6,Sistema ERP Alpha XK,Viejo materia dado buenos organización formas junto.,2022-07-27,2023-06-30,2022-07-24,,2490,2182,2,3,186,0,0,6
7,App de Tareas EP,Director ahora todos mediante atención cualquier importantes primero.,2022-09-19,2024-11-23,2022-10-03,2024-11-29,1283,1006,4,4,44,4,0,7
8,App de Tareas UW,Momento acción cuales tuvo niño mujeres final gran.,2022-06-20,2023-07-20,2022-06-29,,1885,1301,2,2,282,0,0,8
9,Sistema RRHH YN,Relación señora medio mil común primero serán organización hijos.,2024-03-29,2025-04-02,2024-04-09,,2076,1233,2,2,277,0,0,9
10,Portal Clientes TF,Día tema cara san.,2024-12-17,2025-12-31,2024-12-14,,1495,671,2,4,265,0,0,10
11,Sistema Flotas WD,Da rey ocasiones boca maría.,2020-01-26,2022-01-06,2020-01-23,2022-01-08,871,831,4,5,302,5,0,11
12,Aplicación CRM GB,Contenido principales doctor condiciones estoy habría.,2021-08-27,2022-07-14,2021-08-19,,664,330,3,1,118,0,0,12
13,App de Tareas XJ,Cada estamos doctor problema destino análisis les.,2020-10-27,2023-01-10,2020-10-21,,1877,1407,2,4,343,0,0,13
14,Portal Clientes ZX,Mar condiciones nuevo clase estoy dos ser viaje.,2024-01-11,2025-03-12,2024-01-26,,1368,1293,2,5,293,0,0,14
15,Sistema RRHH HD,Teatro hijos mil decía sea torno.,2022-07-18,2023-11-22,2022-07-19,2023-03-01,798,156,5,1,98,3,0,15
16,Sistema RRHH LV,Técnica apenas sabía cierto sala fuerza pie paciente experiencia.,2025-11-07,2025-12-31,,,724,317,1,1,345,0,0,16
17,Portal Clientes OB,Hacía arriba nuestras riesgo común valores b partido pueda quizá.,2023-03-27,2024-04-26,2023-03-23,,1109,668,2,1,442,0,0,17
18,Plataforma E-Commerce JR,Sobre siguientes hacer es seguridad política compañía.,2023-06-28,2024-08-05,2023-06-25,,1940,1827,2,2,217,0,0,18
19,Sistema ERP Alpha GX,Toma tribunal estructura ni hoy parece voz pocos crisis seguridad cuenta.,2024-07-14,2025-09-29,2024-07-24,,600,499,2,5,442,0,0,19
20,Sistema RRHH VI,Poner santiago argentina precio nombre atención constitución dar.,2022-07-16,2023-08-15,,,1481,700,1,2,48,0,0,20
21,App Inventarios OT,Ejército compañía valor sigue derechos comenzó valores.,2022-06-13,2023-04-05,2022-06-15,2023-04-06,1240,1053,4,4,443,3,0,21
22,Sistema RRHH HK,Tampoco conseguir vía dan película cabeza podría quería esas arte.,2022-03-07,2024-07-24,2022-03-19,,2168,1443,2,4,402,0,0,22
23,Portal Clientes VE,Dice resultado corte diario hoy alta.,2024-12-28,2025-12-31,2024-12-27,,1634,895,2,4,285,0,0,23
24,Aplicación CRM PP,Grande tenido silencio qué barcelona.,2024-01-07,2025-09-16,2023-12-29,2025-09-22,524,426,4,5,297,3,0,24
25,Sistema ERP Alpha GR,Y resto muerto seis etapa sectores.,2024-01-23,2025-01-03,2024-01-29,,722,147,3,5,437,0,0,25
26,Portal Clientes PM,Semana autor pequeña día partidos presente participación.,2020-04-25,2021-06-16,2020-04-27,2021-06-27,539,251,4,5,36,0,0,26
27,Sistema Flotas LA,Corte todo encontrar expresión ciudad deja.,2022-06-18,2023-12-18,2022-06-10,,481,162,3,5,297,0,0,27
28,Gestión Documental CA,Jóvenes caso j verdad destino ministerio central.,2021-02-20,2021-11-12,2021-02-16,,1047,848,2,5,290,0,0,28
29,App Inventarios GD,Será poco sea etc problemas ciudad estructura.,2022-07-05,2023-12-18,2022-07-16,2023-12-20,2810,2499,4,3,123,7,0,29
30,Sistema Flotas KR,Tienen asunto presenta llamado hijos tan.,2025-09-10,2025-12-31,2025-09-18,,1538,458,2,1,38,0,0,30
31,App Inventarios GL,Nuestros etapa a campo deben público.,2022-10-21,2023-10-25,2022-10-22,2023-10-29,943,910,4,5,110,1,0,31
32,Gestión Documental TL,Un tomar realizar ni les partir camino jefe cama enfermedad.,2022-08-24,2023-11-30,2022-09-02,,3225,1812,2,4,81,0,0,32
33,Plataforma Reservas SH,Fuerza nadie constitución estaban ninguna vuelve puerta.,2025-12-20,2025-12-31,2025-11-25,,1013,565,2,5,342,0,0,33
34,Gestión Documental JE,Chile tales fecha análisis especialmente plazo crisis decisión tengo asimismo.,2020-12-14,2021-10-28,2020-12-13,2021-11-03,718,704,4,5,55,1,0,34
35,Plataforma E-Commerce DJ,Dice quiero nunca salida arte análisis región valor pp.,2023-10-16,2025-12-31,2023-10-14,,3035,2719,2,3,352,0,0,35
36,Sistema ERP Alpha ZD,Millones diferentes manuel estudios plaza falta como madre el.,2021-11-07,2023-03-10,2021-11-07,2023-03-23,2090,1503,4,3,217,8,0,36
37,Sistema RRHH LE,Espacio i encuentra así vio.,2024-01-06,2024-12-13,2024-01-13,,3259,581,2,4,380,0,0,37
38,Aplicación CRM CS,Fueron están república metros pablo pesar socialista consejo.,2023-03-18,2024-10-10,2023-03-26,2024-10-23,947,645,4,2,453,4,0,38
39,Portal Clientes YF,Esto oro les flores tema mientras imágenes período estuvo imágenes.,2023-12-09,2025-07-05,,,1332,265,1,1,187,0,0,39
40,App de Tareas RU,Espacio interior proceso visto toda social militares ideas este línea.,2025-03-25,2025-12-31,2025-03-28,,3597,2442,2,3,53,0,0,40
41,Sistema RRHH XB,Aún mundo ya domingo enfermedad desde carta.,2023-06-03,2023-12-08,2023-05-24,,1525,297,2,2,122,0,0,41
42,Gestión Documental CO,Usted oposición hay estamos sería sala régimen tuvo domingo boca.,2022-09-23,2023-11-29,2022-09-18,,2016,1275,2,4,171,0,0,42
43,Portal Clientes PT,Hospital políticos idea hora vamos superior.,2021-06-28,2022-04-16,2021-06-24,,1563,1430,2,1,447,0,0,43
44,Portal Clientes OR,Cuya años internacional sangre música pública diario quién cierto.,2021-07-25,2022-06-16,2021-07-22,,3680,2768,3,3,180,0,0,44
45,Plataforma Reservas WI,San ley asociación nuevo puntos vez barcelona dado popular.,2023-04-21,2025-02-08,2023-05-05,,2570,2028,3,3,205,0,0,45
46,Aplicación CRM PQ,Proyecto te personal acción menor título.,2020-06-09,2021-07-22,2020-05-30,,3196,1593,2,4,261,0,0,46
47,Sistema ERP Alpha RY,Productos instituciones he pequeño éxito estudios posibilidad zonas luz constitución.,2020-02-17,2022-02-18,2020-02-10,2022-02-25,1887,1754,4,2,134,8,0,47
48,Plataforma Reservas NM,Sean texto posibilidades padres especie servicio.,2022-01-13,2023-06-25,2022-01-15,,1447,1148,3,5,224,0,0,48
49,App de Tareas JU,Música banco ellas información congreso serie según.,2023-12-29,2025-12-31,2024-01-13,2025-11-25,1006,754,4,4,23,5,0,49
50,Sistema RRHH WU,Acción idea cuales países decir hombres.,2024-12-19,2025-12-31,2024-12-11,,2291,181,3,2,378,0,0,50
51,App de Tareas LU,Tierra juan proceso habría padre causa tipos orden serán.,2024-02-27,2025-02-16,2024-02-26,,1215,276,2,1,340,0,0,51
52,App Inventarios UP,Visto conocimiento propia madrid alguien tras dicen torno constitución.,2024-06-15,2025-12-31,2024-06-11,2025-08-29,3135,1014,5,3,207,15,0,52
53,Sistema RRHH CE,Doctor demás pese sentido cambios.,2020-01-29,2021-04-06,2020-02-05,,1016,695,3,5,316,0,0,53
54,Sistema Flotas NG,Policía secretario tratamiento alta educación necesario a seguir un.,2024-07-02,2025-12-23,2024-07-12,,3375,2016,2,4,108,0,0,54
55,Plataforma E-Commerce UR,Perdido para aspectos pie fuego armas forma gran todas sistema.,2024-06-23,2025-03-15,2024-07-08,,2893,1854,2,2,227,0,0,55
56,Plataforma Reservas QW,Produce te lenguaje etc sociedad ve cierto.,2020-09-07,2021-05-09,2020-09-21,,1086,767,2,5,146,0,0,56
57,Sistema ERP Alpha PP,Sí interior allá hay del.,2021-06-16,2023-05-19,2021-06-07,,1403,1213,2,2,116,0,0,57
58,Sistema RRHH FF,Siquiera mercado perdido teoría vio has proceso abril autoridades.,2024-10-26,2025-05-04,2024-11-05,,1532,530,3,1,313,0,0,58
59,Sistema RRHH ER,Llama tiempos don ministerio pudo.,2021-07-11,2022-12-27,2021-07-08,,3024,2762,2,4,357,0,0,59
60,Portal Clientes UB,Respuesta llevar momentos hijo otro sea.,2022-01-17,2023-05-13,2022-01-12,,1470,1343,2,1,3,0,0,60
61,App de Tareas KY,Mayoría mitad madrid vuelve éxito economía animales sólo anterior aumento.,2022-11-24,2023-08-18,2022-11-21,2023-08-22,1205,1203,4,4,266,11,0,61
62,Plataforma E-Commerce MX,Dan servicio lejos si nosotros flores investigación político pacientes servicios análisis.,2025-08-14,2025-12-31,2025-08-23,,1049,726,2,5,342,0,0,62
63,App Inventarios YF,Equipo gente cada mujeres tampoco programas toda ex creo ella tipos.,2023-10-13,2025-05-12,2023-10-26,2025-05-16,1313,1239,4,5,219,7,0,63
64,App de Tareas XW,Antes durante salud vamos fuerzas estado día.,2024-09-17,2025-08-31,2024-09-22,,3568,1511,2,3,431,0,0,64
65,Gestión Documental FM,Programas oposición por idea cultural baja estudios flores sociedad políticos.,2025-10-30,2025-12-31,2025-10-30,2025-11-25,2480,2184,4,3,40,9,0,65
66,App Inventarios YK,Siglo siglo decir ver muchas cierto.,2020-08-26,2021-04-17,2020-09-07,2021-04-26,2368,1797,4,2,78,9,0,66
67,Sistema ERP Alpha XQ,Valores necesidad francisco edad están a antonio.,2025-04-10,2025-12-31,2025-04-06,,2703,2329,2,4,278,0,0,67
