tipo_defecto_id,categoria,subtipo
1,Funcionalidad,Lógica/algoritmo
2,Funcionalidad,Requisitos mal interpretados
3,Funcionalidad,Reglas de negocio
4,Funcionalidad,Validación de entradas
5,Funcionalidad,Cálculo numérico
6,Rendimiento,Consultas ineficientes
7,Rendimiento,Uso excesivo de CPU
8,Rendimiento,Bloqueos/contención
9,Rendimiento,N+1 queries
10,Rendimiento,Caching incorrecto
11,Seguridad,XSS
12,Seguridad,Inyección SQL
13,Seguridad,Autorización rota
14,Seguridad,Exposición de datos
15,Seguridad,Deserialización peligrosa
16,Seguridad,XXE
17,Usabilidad,Accesibilidad
18,Usabilidad,Flujo confuso
19,Usabilidad,Etiquetas/ayuda
20,Usabilidad,Diseño inconsistente
21,Usabilidad,Feedback insuficiente
22,Compatibilidad,Navegador/OS
23,Compatibilidad,Resolución/dispositivo
24,Compatibilidad,Dependencias/bibliotecas
25,Compatibilidad,Versionado API
26,Compatibilidad,Localización
27,Mantenibilidad,Duplicación/código espagueti
28,Mantenibilidad,Complejidad ciclomática
29,Mantenibilidad,Nombres pobres
30,Mantenibilidad,Falta de pruebas
31,Mantenibilidad,Acoplamiento alto
32,Portabilidad,Rutas/FS
33,Portabilidad,Endianness/arqu.
34,Portabilidad,Dependencias SO
35,Portabilidad,Diferencias de runtime
36,Portabilidad,Script deploy
37,Fiabilidad,Condiciones de carrera
38,Fiabilidad,Fugas de recursos
39,Fiabilidad,Time-outs
40,Fiabilidad,Reintentos/retornos
41,Fiabilidad,Estados inconsistentes
42,Documentación,Especificación desactualizada
43,Documentación,Guías incompletas
44,Documentación,Comentarios engañosos
45,Documentación,Falta de ejemplo
46,Documentación,Formato incorrecto
47,Otros,Config. errónea
48,Otros,Datos de prueba
49,Otros,Infraestructura
50,Otros,Terceros
51,Otros,Desconocido
